2022-10-04T15:56:18.109+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Starting BackendApplication using Java 17.0.1 on DESKTOP-8I9PRAS with PID 18112 (E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System\backend\target\classes started by Ling in E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System)
2022-10-04T15:56:18.113+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - No active profile set, falling back to 1 default profile: "default"
2022-10-04T15:56:18.782+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-10-04T15:56:18.852+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Finished Spring Data repository scanning in 58 ms. Found 2 JPA repository interfaces.
2022-10-04T15:56:19.398+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat initialized with port(s): 8081 (http)
2022-10-04T15:56:19.413+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-04T15:56:19.413+0700 [main] INFO  org.apache.catalina.core.StandardService - [] - Starting service [Tomcat]
2022-10-04T15:56:19.415+0700 [main] INFO  org.apache.catalina.core.StandardEngine - [] - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-04T15:56:19.548+0700 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring embedded WebApplicationContext
2022-10-04T15:56:19.548+0700 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - [] - Root WebApplicationContext: initialization completed in 1400 ms
2022-10-04T15:56:19.759+0700 [main] INFO  org.hibernate.Version - [] - HHH000412: Hibernate ORM core version 5.6.10.Final
2022-10-04T15:56:19.921+0700 [main] INFO  org.hibernate.annotations.common.Version - [] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-10-04T15:56:20.044+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Starting...
2022-10-04T15:56:20.299+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Start completed.
2022-10-04T15:56:20.326+0700 [main] INFO  org.hibernate.dialect.Dialect - [] - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-10-04T15:56:20.925+0700 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - [] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-10-04T15:56:20.933+0700 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T15:56:21.213+0700 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-10-04T15:56:21.371+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35fac3ba, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@50a095cb, org.springframework.security.web.context.SecurityContextPersistenceFilter@25a2c4dc, org.springframework.security.web.header.HeaderWriterFilter@4777f71e, org.springframework.security.web.authentication.logout.LogoutFilter@7135e8cd, com.icheck.backend.filters.JwtRequestFilter@18a096b5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@18d396eb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7abd75fc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f2afa8b, org.springframework.security.web.session.SessionManagementFilter@25a52a60, org.springframework.security.web.access.ExceptionTranslationFilter@5cf1bbd3, org.springframework.security.web.access.intercept.AuthorizationFilter@f996445]
2022-10-04T15:56:21.683+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Starting ProtocolHandler ["http-nio-8081"]
2022-10-04T15:56:21.699+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat started on port(s): 8081 (http) with context path ''
2022-10-04T15:56:21.714+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Started BackendApplication in 3.969 seconds (JVM running for 5.228)
2022-10-04T16:40:30.432+0700 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:40:30.435+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown initiated...
2022-10-04T16:40:30.438+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown completed.
2022-10-04T16:40:36.347+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Starting BackendApplication using Java 17.0.1 on DESKTOP-8I9PRAS with PID 15340 (E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System\backend\target\classes started by Ling in E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System)
2022-10-04T16:40:36.354+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - No active profile set, falling back to 1 default profile: "default"
2022-10-04T16:40:37.264+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-10-04T16:40:37.321+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Finished Spring Data repository scanning in 48 ms. Found 2 JPA repository interfaces.
2022-10-04T16:40:37.774+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat initialized with port(s): 8081 (http)
2022-10-04T16:40:37.788+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-04T16:40:37.789+0700 [main] INFO  org.apache.catalina.core.StandardService - [] - Starting service [Tomcat]
2022-10-04T16:40:37.789+0700 [main] INFO  org.apache.catalina.core.StandardEngine - [] - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-04T16:40:37.926+0700 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring embedded WebApplicationContext
2022-10-04T16:40:37.926+0700 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - [] - Root WebApplicationContext: initialization completed in 1527 ms
2022-10-04T16:40:38.159+0700 [main] INFO  org.hibernate.Version - [] - HHH000412: Hibernate ORM core version 5.6.10.Final
2022-10-04T16:40:38.341+0700 [main] INFO  org.hibernate.annotations.common.Version - [] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-10-04T16:40:38.479+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Starting...
2022-10-04T16:40:38.727+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Start completed.
2022-10-04T16:40:38.760+0700 [main] INFO  org.hibernate.dialect.Dialect - [] - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-10-04T16:40:39.361+0700 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - [] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-10-04T16:40:39.368+0700 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:40:39.618+0700 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-10-04T16:40:39.777+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@185b7cc6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2093bb6c, org.springframework.security.web.context.SecurityContextPersistenceFilter@72ce8a9b, org.springframework.security.web.header.HeaderWriterFilter@18d396eb, org.springframework.security.web.authentication.logout.LogoutFilter@6b2efcae, com.icheck.backend.filters.JwtRequestFilter@7d42404e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@9fc2f89, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3355d9ba, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@528a16fb, org.springframework.security.web.session.SessionManagementFilter@56ec6ac0, org.springframework.security.web.access.ExceptionTranslationFilter@25a2c4dc, org.springframework.security.web.access.intercept.AuthorizationFilter@3adbd038]
2022-10-04T16:40:40.058+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Starting ProtocolHandler ["http-nio-8081"]
2022-10-04T16:40:40.073+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat started on port(s): 8081 (http) with context path ''
2022-10-04T16:40:40.088+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Started BackendApplication in 4.034 seconds (JVM running for 5.049)
2022-10-04T16:42:08.319+0700 [http-nio-8081-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-04T16:42:08.319+0700 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - [] - Initializing Servlet 'dispatcherServlet'
2022-10-04T16:42:08.320+0700 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - [] - Completed initialization in 1 ms
2022-10-04T16:46:22.705+0700 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:46:22.707+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown initiated...
2022-10-04T16:46:22.710+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown completed.
2022-10-04T16:46:28.050+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Starting BackendApplication using Java 17.0.1 on DESKTOP-8I9PRAS with PID 2532 (E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System\backend\target\classes started by Ling in E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System)
2022-10-04T16:46:28.055+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - No active profile set, falling back to 1 default profile: "default"
2022-10-04T16:46:28.650+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-10-04T16:46:28.713+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Finished Spring Data repository scanning in 51 ms. Found 2 JPA repository interfaces.
2022-10-04T16:46:29.142+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat initialized with port(s): 8081 (http)
2022-10-04T16:46:29.155+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-04T16:46:29.156+0700 [main] INFO  org.apache.catalina.core.StandardService - [] - Starting service [Tomcat]
2022-10-04T16:46:29.156+0700 [main] INFO  org.apache.catalina.core.StandardEngine - [] - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-04T16:46:29.277+0700 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring embedded WebApplicationContext
2022-10-04T16:46:29.279+0700 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - [] - Root WebApplicationContext: initialization completed in 1178 ms
2022-10-04T16:46:29.453+0700 [main] INFO  org.hibernate.Version - [] - HHH000412: Hibernate ORM core version 5.6.10.Final
2022-10-04T16:46:29.594+0700 [main] INFO  org.hibernate.annotations.common.Version - [] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-10-04T16:46:29.701+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Starting...
2022-10-04T16:46:29.973+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Start completed.
2022-10-04T16:46:29.999+0700 [main] INFO  org.hibernate.dialect.Dialect - [] - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-10-04T16:46:30.512+0700 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - [] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-10-04T16:46:30.523+0700 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:46:30.764+0700 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-10-04T16:46:30.915+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2a79da3a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a191f83, org.springframework.security.web.context.SecurityContextPersistenceFilter@46b55a0e, org.springframework.security.web.header.HeaderWriterFilter@716eae1, org.springframework.security.web.authentication.logout.LogoutFilter@f996445, com.icheck.backend.filters.JwtRequestFilter@21ea996f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@31b67d61, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9fc2f89, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@c8531b9, org.springframework.security.web.session.SessionManagementFilter@75e92bb7, org.springframework.security.web.access.ExceptionTranslationFilter@64eb14da, org.springframework.security.web.access.intercept.AuthorizationFilter@8aa1562]
2022-10-04T16:46:31.201+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Starting ProtocolHandler ["http-nio-8081"]
2022-10-04T16:46:31.214+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat started on port(s): 8081 (http) with context path ''
2022-10-04T16:46:31.228+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Started BackendApplication in 3.538 seconds (JVM running for 4.411)
2022-10-04T16:46:41.468+0700 [http-nio-8081-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-04T16:46:41.469+0700 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - [] - Initializing Servlet 'dispatcherServlet'
2022-10-04T16:46:41.470+0700 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - [] - Completed initialization in 1 ms
2022-10-04T16:53:00.355+0700 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:53:00.357+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown initiated...
2022-10-04T16:53:00.359+0700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Shutdown completed.
2022-10-04T16:53:05.899+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - Starting BackendApplication using Java 17.0.1 on DESKTOP-8I9PRAS with PID 12420 (E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System\backend\target\classes started by Ling in E:\Documents\JAVA\SPRING_BOOT\Stamp-Enterprise-Management-System)
2022-10-04T16:53:05.903+0700 [main] INFO  com.icheck.backend.BackendApplication - [] - No active profile set, falling back to 1 default profile: "default"
2022-10-04T16:53:06.495+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-10-04T16:53:06.551+0700 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - [] - Finished Spring Data repository scanning in 45 ms. Found 2 JPA repository interfaces.
2022-10-04T16:53:06.999+0700 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - [] - Tomcat initialized with port(s): 8081 (http)
2022-10-04T16:53:07.012+0700 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [] - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-04T16:53:07.013+0700 [main] INFO  org.apache.catalina.core.StandardService - [] - Starting service [Tomcat]
2022-10-04T16:53:07.013+0700 [main] INFO  org.apache.catalina.core.StandardEngine - [] - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-04T16:53:07.123+0700 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - [] - Initializing Spring embedded WebApplicationContext
2022-10-04T16:53:07.123+0700 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - [] - Root WebApplicationContext: initialization completed in 1179 ms
2022-10-04T16:53:07.300+0700 [main] INFO  org.hibernate.Version - [] - HHH000412: Hibernate ORM core version 5.6.10.Final
2022-10-04T16:53:07.434+0700 [main] INFO  org.hibernate.annotations.common.Version - [] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-10-04T16:53:07.542+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Starting...
2022-10-04T16:53:07.760+0700 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] - HikariPool-1 - Start completed.
2022-10-04T16:53:07.780+0700 [main] INFO  org.hibernate.dialect.Dialect - [] - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-10-04T16:53:08.296+0700 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - [] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-10-04T16:53:08.303+0700 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
